name,lat,lon,height,color,size
matterhorn,45.9764263,7.6586024,4181.0,#aa0000,30
zinalrothorn,46.0648271,7.6901238,3944.0,#aa0000,30
alphubel,46.0628767,7.8638549,4174.0,#aa0000,30
allalinhorn,46.0460858,7.8945842,3940.0,#aa0000,30
weissmies,46.127633,8.0120569,3983.0,#aa0000,30
lagginhorn,46.1570635,8.0031044,3916.0,#aa0000,30
lenzspitze,46.1045505,7.8686568,4255.0,#aa0000,30
scherckhorn,,,,#aa0000,30
ludwigshoge,,,,#aa0000,30
aletshhorn,,,,#aa0000,30
strahlhorn,46.0131498,7.9021703,4072.0,#00aa00,500
parrotspitze,45.9197881,7.8710552,4419.0,#aa0000,30
